origins,origins_embargo,destinations,destinations_embargo,sectors,sectors_embargo
Argentina,0,Argentina,0,wht,0
Australia,1,Australia,0,gro,0
Austria,1,Austria,0,v_f,1
Bulgaria,1,Bulgaria,0,osd,0
Belarus,0,Belarus,0,pfb,0
Brazil,0,Brazil,0,ocr,0
Canada,1,Canada,0,ctl,0
Switzerland,0,Switzerland,0,oap,0
China,0,China,0,wol,0
Czechia,1,Czechia,0,frs,0
Germany,1,Germany,0,fsh,1
Denmark,1,Denmark,0,coa,0
Egypt,0,Egypt,0,oil,0
Spain,1,Spain,0,gas,0
Estonia,1,Estonia,0,omn,0
Finland,1,Finland,0,cmt,1
France,1,France,0,omt,1
United Kingdom,1,United Kingdom,0,vol,0
Greece,1,Greece,0,mil,1
Croatia,1,Croatia,0,pcr,0
Hungary,1,Hungary,0,sgr,0
Indonesia,0,Indonesia,0,ofd,0
India,0,India,0,b_t,0
Ireland,1,Ireland,0,tex,0
Italy,1,Italy,0,wap,0
Japan,0,Japan,0,lea,0
Kazakhstan,0,Kazakhstan,0,lum,0
Netherlands,1,Netherlands,0,ppp,0
Norway,1,Norway,0,p_c,0
Poland,1,Poland,0,crp,0
Portugal,1,Portugal,0,nmm,0
Romania,1,Romania,0,i_s,0
Russia,0,Russia,1,nfm,0
Slovakia,1,Slovakia,0,fmp,0
Slovenia,1,Slovenia,0,mvh,0
Sweden,1,Sweden,0,otn,0
Turkey,0,Turkey,0,ele,0
United States,1,United States,0,ome,0
,,,,omf,0
